,Unnamed: 0,"Sport catch of Fall Chinook in Oregon streams and rivers, 2007-2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(2018-2019 numbers are 'Preliminary'),,,,,,,,,,,,,,,,
Code,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19,,,,,,,,,,,,,,
,,Coastal River Systems,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,168.0,SANDY R FROM MOUTH TOREVENUE BRIDGE,62,184,200,216,129,38,115,275,187,32,50,41
169,,,,,,,,,,,,,,,169.0,SANTIAM R,-,-,-,-,-,-,-,-,-,-,-,-
170,,,,,,,,,,,,,,,170.0,N FK SANTIAM,-,-,-,-,-,-,-,-,-,-,-,-
171,,,,,,,,,,,,,,,171.0,LITTLE N FK SANTIAM,-,-,-,-,-,-,-,-,-,-,-,-
172,,,,,,,,,,,,,,,172.0,S FK SANTIAM,-,-,-,-,-,-,-,-,-,-,-,-
173,,,,,,,,,,,,,,,173.0,SCAPPOOSE CR,-,8,-,-,-,-,-,-,-,-,-,-
174,,,,,,,,,,,,,,,174.0,N FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
175,,,,,,,,,,,,,,,175.0,S FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
176,,,,,,,,,,,,,,,176.0,SNAKE R,-,-,-,-,-,-,-,-,47,6,44,-
177,,,,,,,,,,,,,,,177.0,SUCKER CR,-,4,27,7,-,-,4,-,-,13,13,-
178,,,,,,,,,,,,,,,178.0,TANNER CR,-,-,4,-,17,4,4,5,18,-,19,10
179,,,,,,,,,,,,,,,179.0,THOMAS CR (SANT),-,-,-,-,-,-,-,-,-,-,-,-
180,,,,,,,,,,,,,,,180.0,TUALATIN R,8,-,-,4,-,-,-,-,-,-,-,-
