Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
COLUMBIA R--MCNARY DAM TO,66,106,131,149,63,158,275,296,373,240,120,10
LONG TOM,-,-,-,-,-,-,-,-,-,-,-,-
ROW R,-,-,-,-,-,-,-,-,-,-,-,-
WILEY CR (S SANTIAM),-,-,-,-,-,-,-,-,-,-,-,-
BLUE R (MCKENZIE),-,-,-,-,-,-,-,-,-,-,-,-
HOOD R,-,8,54,18,5,28,11,13,-,-,-,-
HOOD R ABOVE POWERDALE,-,-,-,-,-,-,-,-,-,-,-,-
GRANDE RONDE R FROM,-,-,-,-,-,-,-,-,-,13,-,-
GRANDE RONDE R FROM,-,-,-,-,-,-,-,-,-,-,-,-
GRANDE RONDE R ABOVE ISLAND,-,-,-,-,-,-,-,-,-,-,-,-
WALLOWA R MOUTH TO MINAM,-,-,-,-,-,-,-,-,-,-,-,-
WALLOWA R ABOVE MINAM,-,-,-,-,-,-,-,-,-,-,-,-
UMATILLA R BELOW THREE-MILE,34,23,84,17,20,32,260,231,77,58,107,133
UMATILLA R ABOVE NOLIN,-,7,8,14,19,8,10,31,12,-,13,31
JOHN DAY R BELOW,8,-,-,6,-,-,-,5,6,6,-,-
JOHN DAY R ABOVE,-,-,-,-,-,-,-,-,-,-,-,-
LOOKINGGLASS CR,-,-,-,-,-,-,-,-,-,-,-,-
POWDER R,-,-,-,-,-,-,-,-,-,-,-,-
UMATILLA R THREE-MILE DAM TO,-,6,8,16,5,21,18,40,36,-,-,-
SANDY R ABOVE SALMON R,-,-,-,-,-,-,-,-,-,-,-,-
CLACK R.-CARVER BR. TO,-,-,-,-,-,13,-,10,18,-,13,-
CLACK R-BAKERS FERRY RD TO,-,-,-,-,-,8,22,20,77,32,13,-
CLACK R-RIVER MILL DAM TO,-,-,-,-,-,38,4,-,36,19,-,-
JOHN DAY R (CLATSOP CTY),-,-,-,-,-,6,-,-,-,-,-,-
