Tenmile Creek & Lakes (Coos Co),,,,,,,,,,,,,,,,,,Tenmile Creek & Lakes (Coos Co),6,0,6,33,3,31,22,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Tenmile Creek (Lane Co),,,,,,,,,,,,,,,,,,Tenmile Creek (Lane Co),3,0,3,0,0,0,9,8,4,10,8,22,0,6,16,8,,,,,,,,,,,,,,,,,
Three Rivers,,,,,,,,,,,,,,,,,,Three Rivers,208,289,274,159,162,91,111,349,218,222,262,430,229,214,273,130,,,,,,,,,,,,,,,,,
Tillamook Bay,,,,,,,,,,,,,,,,,,Tillamook Bay,"5,180","4,445","2,750","3,531","3,244","2,450","3,116","2,649","4,781","7,301","7,893","7,197","5,433","10,224","7,560","6,898",,,,,,,,,,,,,,,,,
Tillamook River,,,,,,,,,,,,,,,,,,Tillamook River,346,162,237,195,173,287,369,255,696,669,583,662,"1,390",729,971,907,,,,,,,,,,,,,,,,,
Trask River,,,,,,,,,,,,,,,,,,Trask River,"5,888","3,042","3,411","3,452","2,495","2,043","3,280","3,780","3,429","6,804","4,360","6,792","5,748","5,193","5,158","5,591",,,,,,,,,,,,,,,,,
N. Fk. Trask River,,,,,,,,,,,,,,,,,,N. Fk. Trask River,44,54,43,12,20,3,X,X,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
S. Fk. Trask River,,,,,,,,,,,,,,,,,,S. Fk. Trask River,53,81,80,86,39,31,X,X,18,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,,
Umpqua River & Bay,,,,,,,,,,,,,,,,,,Umpqua River & Bay,198,81,122,121,343,244,373,148,306,498,626,638,578,"2,108","1,530","2,440",,,,,,,,,,,,,,,,,
"N. Umpqua River, Lower",,,,,,,,,,,,,,,,,,"N. Umpqua River, Lower",87,19,15,43,22,18,21,24,21,17,23,6,28,19,5,2,,,,,,,,,,,,,,,,,
"N. Umpqua River, Upper",,,,,,,,,,,,,,,,,,"N. Umpqua River, Upper",--,--,--,--,--,--,16,15,45,26,14,11,19,55,32,3,,,,,,,,,,,,,,,,,
S. Umpqua River,,,,,,,,,,,,,,,,,,S. Umpqua River,66,72,160,95,104,6,29,0,4,10,16,7,0,3,0,0,,,,,,,,,,,,,,,,,
Wilson River,,,,,,,,,,,,,,,,,,Wilson River,"4,141","3,953","1,998","4,023","2,128","1,633","3,373","3,027","2,724","2,218","2,587","2,842","4,043","2,274","3,261","2,227",,,,,,,,,,,,,,,,,
Devils Lk. Fk. Wilson River,,,,,,,,,,,,,,,,,,Devils Lk. Fk. Wilson River,3,6,6,12,0,0,10,4,4,0,16,0,3,0,0,0,,,,,,,,,,,,,,,,,
Little N. Fk. Wilson River,,,,,,,,,,,,,,,,,,Little N. Fk. Wilson River,70,129,93,111,0,0,0,4,9,4,0,0,0,0,8,0,,,,,,,,,,,,,,,,,
Winchuck River,,,,,,,,,,,,,,,,,,Winchuck River,145,150,95,74,86,130,79,71,159,88,101,74,101,98,168,23,,,,,,,,,,,,,,,,,
Yaquina R. and Bay 264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yaquina R. and Bay 264,336,342,409,529,329,421,,787,"1,982","1,232 1,350",,"1,212",771,"1,062","1,381",953
Unclassified (b) 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclassified (b) 162,9,24,33,171,61,181,,76,0,0 4,,7,15,18,13,4
"Total 42,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Total 42,684","30,800","22,101","29,587","24,736","21,135","29,023",,"29,503","36,524","54,827 61,357",,"53,914","39,924","47,735","44,746","54,725"
a  The main stem was listed under one stream code prior to 1992.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a  The main stem was listed under one stream code prior to 1992.,,,,,,,,,,,,,,,,
b  Includes incidental catch on minor assignable streams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b  Includes incidental catch on minor assignable streams.,,,,,,,,,,,,,,,,
"""X"" denotes stream was closed to angling.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""X"" denotes stream was closed to angling.",,,,,,,,,,,,,,,,
"Sport catch of Fall Chinook Salmon in Oregon tributaries of the Columbia River system, 1978-94.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sport catch of Fall Chinook Salmon in Oregon tributaries of the Columbia River system, 1978-94.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run Year,,,,,,
Stream 1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stream 1978,1979,1980,1981,1982,1983,1984,,1985-86,1986-87,1987-88 1988-89,,1989-90,1990-91,1991-92,1992-93,1993-94
Bear Creek (Clatsop Co) 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bear Creek (Clatsop Co) 9,6,3,68,234,196,137,,98,0,0 19,,0,6,3,3,8
Big Creek (Clatsop Co) 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Big Creek (Clatsop Co) 73,90,52,43,270,215,278,,585,318,"412 1,000",,993,494,369,521,513
Bullrun River 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bullrun River 0,6,0,6,3,6,6,,24,14,19 16,,4,3,9,3,4
"Clackamas River, Lower 57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clackamas River, Lower 57",114,194,135,188,126,19,,81,49,82 66,,112,48,107,117,69
"Clackamas River, Upper --",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clackamas River, Upper --",--,--,--,--,--,3,,4,15,0 0,,0,0,0,0,0
