164,MOLALLA R,0,0,0,0,0,0,0,0,0,0,0,0
165,RICKREALL CR,0,0,0,0,0,0,0,0,0,0,0,0
166,PUDDING R,0,0,0,0,0,0,0,0,0,0,0,0
167,SALMON R (SANDY R),45,50,25,39,15,6,57,12,12,6,0,19
168,SANDY R (BELOW MARMOT DAM),351,298,397,217,133,138,454,272,198,279,101,146
169,SANTIAM R,0,0,0,0,0,0,0,0,0,0,0,0
170,N FK SANTIAM,0,0,0,0,0,0,0,0,0,0,0,0
171,LITTLE N FK SANTIAM,0,0,0,0,0,0,0,0,0,0,0,0
172,S FK SANTIAM,0,0,0,0,0,0,0,0,0,0,0,0
173,SCAPPOOSE CR,0,0,0,0,0,0,0,0,0,0,0,0
174,N FK SCAPPOOSE,0,8,0,0,0,0,0,0,0,0,0,0
175,S FK SCAPPOOSE,0,0,0,0,0,0,0,0,0,3,0,4
176,SNAKE R,0,0,0,0,0,0,0,0,0,0,0,0
177,SUCKER CR,34,3,19,21,62,26,53,32,33,51,43,8
178,TANNER CR,16,13,33,26,9,0,15,9,3,13,4,0
179,THOMAS CR (SANT),0,0,0,0,0,0,0,0,0,0,0,0
180,TUALATIN R,0,0,0,0,0,0,0,0,0,0,0,0
181,UMATILLA R,4,7,2,2,8,0,15,11,5,15,6,6
182,WALLA WALLA R,0,0,3,9,0,0,0,6,0,3,0,0
184,WENAHA R,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,2
185,CITY FALLS,141,66,68,59,89,104,105,130,242,180,206,171
186,WILLAMETTE R ABOVE OR CITY FALLS,27,8,21,9,6,0,27,6,15,31,23,29
188,MID FK WILL,0,0,0,0,0,0,0,0,0,0,0,0
189,WILLAMINA CR,0,5,3,12,0,0,0,0,0,0,0,0
190,YAMHILL R,0,0,0,0,0,0,0,0,0,0,0,0
192,S FK YAMHILL,0,0,0,0,0,0,0,0,0,0,0,0
193,YOUNGS R & BAY,0,15,40,0,6,6,33,21,15,25,8,14
194,TIOGA CR,0,0,0,0,0,0,0,0,0,0,0,0
195,SILVER CR,0,0,0,0,0,0,0,0,0,0,0,0
202,DAM,0,0,0,0,0,0,0,0,0,0,0,0
203,DESCHUTES R ABOVE SHERAR FALLS,5,0,0,8,2,13,6,28,9,9,0,26
205,SANDY R (ABOVE MARMOT DAM),13,52,38,9,6,0,15,12,9,6,4,11
208,JOHN DAY ARM,3,0,8,12,3,0,9,58,9,9,8,29
209,L FALL CR (WILLAMETTE),0,0,0,0,0,0,0,0,0,0,0,0
