,Unnamed: 0,"Sport catch of winter steelhead in Oregon streams and rivers, 1995-2007",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
Code,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07,,,,,,,,,,,,,,
207.0,,,,,,,,,,,,,,,207.0,LITTLE R (N UMPQUA R.),3.0,3.0,0.0,6.0,0.0,10.0,6.0,3.0,6.0,3.0,0.0,0.0
219.0,,,,,,,,,,,,,,,219.0,N FK UMPQUA FROM ROCK CR TO SODASPR (FLY AREA),72.0,42.0,70.0,24.0,0.0,6.0,9.0,6.0,15.0,11.0,8.0,0.0
224.0,,,,,,,,,,,,,,,224.0,NESKOWIN CR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.0,,,,,,,,,,,,,,,225.0,ROGUE BAY UP TO ELEPHANT ROCK,33.0,69.0,43.0,22.0,29.0,45.0,62.0,57.0,78.0,62.0,60.0,72.0
226.0,,,,,,,,,,,,,,,226.0,ROGUE R FROM ELEPHANT ROCK TOGRAVE CR,1443.0,1034.0,1263.0,1009.0,834.0,1184.0,1096.0,1174.0,1352.0,1036.0,761.0,1044.0
227.0,,,,,,,,,,,,,,,227.0,ROGUE R FROM GRAVE CR TO GOLDRAY DAM,1156.0,2050.0,793.0,1679.0,891.0,868.0,4037.0,1780.0,1921.0,745.0,764.0,1209.0
228.0,,,,,,,,,,,,,,,228.0,ROGUE R ABOVE GOLD RAY DAM,1068.0,1836.0,618.0,611.0,334.0,767.0,1455.0,663.0,913.0,838.0,419.0,806.0
240.0,,,,,,,,,,,,,,,240.0,ISTHMUS SLOUGH,0.0,0.0,6.0,0.0,0.0,4.0,0.0,3.0,3.0,14.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Columbia River and Tributaries,,,,,,,,,,,,
112.0,,,,,,,,,,,,,,,112.0,ABERNATHY CR (CLACK R),2.0,0.0,6.0,9.0,7.0,3.0,15.0,9.0,27.0,0.0,19.0,8.0
113.0,,,,,,,,,,,,,,,113.0,ABIQUA CR (PUDDING R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,,,,,,,,,,,,,,,114.0,BEAR CR (CLATSOP CO),4.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0
115.0,,,,,,,,,,,,,,,115.0,BEAVER CR (COL CO),0.0,0.0,3.0,12.0,3.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0
116.0,,,,,,,,,,,,,,,116.0,BIG CR (CLATSOP CO),538.0,401.0,184.0,118.0,269.0,164.0,491.0,230.0,327.0,229.0,573.0,486.0
117.0,,,,,,,,,,,,,,,117.0,BULLRUN R,0.0,6.0,0.0,31.0,0.0,10.0,9.0,9.0,6.0,4.0,4.0,0.0
118.0,,,,,,,,,,,,,,,118.0,BUTTE CR (PUDDING R),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,,,,,,,,,,,,,,,119.0,CALAPOOIA R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,,,,,,,,,,,,,,,120.0,CATHERINE CR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,,,,,,,,,,,,,,,122.0,CLACKAMAS R BELOW N FK DAM,481.0,706.0,758.0,824.0,1060.0,2022.0,3506.0,2723.0,2647.0,2097.0,1613.0,1845.0
123.0,,,,,,,,,,,,,,,123.0,CLATSKANIE R,62.0,40.0,21.0,12.0,11.0,30.0,38.0,43.0,24.0,3.0,33.0,20.0
124.0,,,,,,,,,,,,,,,124.0,CLEAR CR (CLACK R),12.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,8.0,0.0
129.0,,,,,,,,,,,,,,,129.0,CRABTREE CR (SANTIAM R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,,,,,,,,,,,,,,,130.0,DEEP CR (CLACK R),0.0,14.0,18.0,6.0,0.0,3.0,3.0,6.0,0.0,0.0,4.0,0.0
131.0,,,,,,,,,,,,,,,131.0,DESCHUTES R BELOW SHERAR FALLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,,,,,,,,,,,,,,,132.0,EAGLE CR (CLACK R),287.0,845.0,597.0,665.0,792.0,554.0,1689.0,539.0,465.0,193.0,588.0,726.0
133.0,,,,,,,,,,,,,,,133.0,EAGLE CR (COLUMBIA R),32.0,13.0,30.0,6.0,6.0,0.0,3.0,24.0,28.0,17.0,11.0,12.0
134.0,,,,,,,,,,,,,,,134.0,FALL CR (WILLAMETTE R),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.0,,,,,,,,,,,,,,,135.0,FIFTEEN MILE CR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,10.0,0.0,0.0
137.0,,,,,,,,,,,,,,,137.0,GALES CR (TUALATIN R),32.0,6.0,39.0,15.0,4.0,12.0,0.0,0.0,0.0,0.0,8.0,0.0
138.0,,,,,,,,,,,,,,,138.0,GNAT CR,246.0,140.0,39.0,109.0,92.0,45.0,187.0,128.0,220.0,165.0,302.0,226.0
140.0,,,,,,,,,,,,,,,140.0,HERMAN CR (COL R),17.0,0.0,3.0,0.0,14.0,0.0,6.0,6.0,12.0,0.0,11.0,8.0
142.0,,,,,,,,,,,,,,,142.0,E FK HOOD,0.0,0.0,0.0,0.0,0.0,44.0,13.0,0.0,3.0,0.0,0.0,0.0
143.0,,,,,,,,,,,,,,,143.0,W FK HOOD,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144.0,,,,,,,,,,,,,,,144.0,IMNAHA R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.0,,,,,,,,,,,,,,,145.0,JOHN DAY R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146.0,,,,,,,,,,,,,,,146.0,MID FK JOHN DAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.0,,,,,,,,,,,,,,,147.0,N FK JOHN DAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,,,,,,,,,,,,,,,148.0,JOHNSON CR (WILL R),0.0,0.0,3.0,3.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
151.0,,,,,,,,,,,,,,,151.0,KLASKANINE R,108.0,83.0,12.0,3.0,80.0,23.0,128.0,42.0,55.0,37.0,57.0,51.0
152,,,,,,,,,,,,,,,152.0,N FK KLASKANINE,329.0,225.0,29.0,76.0,104.0,34.0,213.0,77.0,153.0,57.0,179.0,117.0
153,,,,,,,,,,,,,,,153.0,S FK KLASKANINE,57.0,14.0,3.0,6.0,17.0,0.0,3.0,6.0,3.0,11.0,8.0,4.0
154,,,,,,,,,,,,,,,154.0,LEWIS & CLARK R,8.0,17.0,6.0,12.0,4.0,7.0,12.0,0.0,7.0,0.0,0.0,0.0
155,,,,,,,,,,,,,,,155.0,MCKENZIE R (BELOW LEABURG DAM),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,,,,,,,,,,,,,,,156.0,LUCKIAMUTE R,0.0,25.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,4.0,12.0,0.0
157,,,,,,,,,,,,,,,157.0,MARYS R,5.0,5.0,9.0,0.0,15.0,0.0,27.0,0.0,0.0,0.0,4.0,4.0
158,,,,,,,,,,,,,,,158.0,MCKENZIE R (ABOVE LEABURG DAM),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,,,,,,,,,,,,,,,159.0,MILL CR (MARION CO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,,,,,,,,,,,,,,,161.0,MILL CR (YAMHILL CO),0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0
162,,,,,,,,,,,,,,,162.0,MILTON CR (COL CO),39.0,20.0,6.0,3.0,4.0,4.0,9.0,12.0,0.0,17.0,4.0,0.0
164,,,,,,,,,,,,,,,164.0,MOLALLA R,15.0,53.0,52.0,41.0,18.0,13.0,5.0,7.0,2.0,2.0,1.0,2.0
165,,,,,,,,,,,,,,,165.0,RICKREALL CR,3.0,0.0,0.0,6.0,4.0,3.0,21.0,3.0,15.0,11.0,4.0,0.0
166,,,,,,,,,,,,,,,166.0,PUDDING R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,,,,,,,,,,,,,,,167.0,SALMON R (SANDY R),12.0,20.0,6.0,14.0,14.0,21.0,15.0,8.0,7.0,8.0,7.0,7.0
168,,,,,,,,,,,,,,,168.0,SANDY R (BELOW MARMOT DAM),1346.0,1426.0,682.0,1129.0,698.0,1335.0,4089.0,1747.0,2097.0,1032.0,1108.0,1058.0
169,,,,,,,,,,,,,,,169.0,SANTIAM R,4.0,75.0,36.0,27.0,86.0,205.0,107.0,65.0,64.0,45.0,19.0,8.0
170,,,,,,,,,,,,,,,170.0,N FK SANTIAM,17.0,114.0,104.0,120.0,127.0,476.0,327.0,144.0,144.0,105.0,77.0,39.0
171,,,,,,,,,,,,,,,171.0,LITTLE N FK SANTIAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,,,,,,,,,,,,,,,172.0,S FK SANTIAM,8.0,0.0,4.0,17.0,13.0,66.0,108.0,32.0,20.0,38.0,14.0,19.0
173,,,,,,,,,,,,,,,173.0,SCAPPOOSE CR,2.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,4.0,0.0,4.0
